timestamp,scenario,details
2025-06-10T21:56:16.385Z,POSITIONS_FILE_NOT_FOUND,file=C:\Users\kerna\Documents\GitHub\Solmemebot\data\positions.json; timestamp=2025-06-10T21:56:16.385Z
2025-06-10T21:58:30.985Z,POSITIONS_FILE_NOT_FOUND,file=C:\Users\kerna\Documents\GitHub\Solmemebot\data\positions.json; timestamp=2025-06-10T21:58:30.985Z
2025-06-10T23:57:22.729Z,POSITIONS_FILE_NOT_FOUND,file=C:\Users\kerna\Documents\GitHub\Solmemebot\data\positions.json; timestamp=2025-06-10T23:57:22.729Z
2025-07-05T04:43:09.816Z,PATTERN_ANALYSIS,event=analyzeTokenForPattern; token=SQUEEZED; timestamp=2025-07-05T04:43:09.813Z
2025-07-06T18:22:37.831Z,PATTERN_ANALYSIS,event=analyzeTokenForPattern; token=SQUEEZED; timestamp=2025-07-06T18:22:37.829Z
2025-07-06T19:21:12.731Z,PATTERN_ANALYSIS,event=analyzeTokenForPattern; token=SQUEEZED; timestamp=2025-07-06T19:21:12.728Z
2025-07-06T19:45:11.062Z,PATTERN_ANALYSIS,event=analyzeTokenForPattern; token=SQUEEZED; timestamp=2025-07-06T19:45:11.059Z
2025-07-17T19:46:05.580Z,PATTERN_ANALYSIS,event=analyzeTokenForPattern; token=SQUEEZED; timestamp=2025-07-17T19:46:05.580Z
2025-07-17T19:47:50.355Z,PATTERN_ANALYSIS,event=analyzeTokenForPattern; token=SQUEEZED; timestamp=2025-07-17T19:47:50.354Z
2025-07-17T20:03:02.067Z,PATTERN_ANALYSIS,event=analyzeTokenForPattern; token=SQUEEZED; timestamp=2025-07-17T20:03:02.067Z
2025-07-17T20:04:30.942Z,PATTERN_ANALYSIS,event=analyzeTokenForPattern; token=SQUEEZED; timestamp=2025-07-17T20:04:30.941Z
2025-07-17T20:07:27.534Z,PATTERN_ANALYSIS,event=analyzeTokenForPattern; token=SQUEEZED; timestamp=2025-07-17T20:07:27.534Z
2025-07-17T20:16:02.889Z,PATTERN_ANALYSIS,event=analyzeTokenForPattern; token=SQUEEZED; timestamp=2025-07-17T20:16:02.889Z
2025-07-17T22:04:28.714Z,PATTERN_ANALYSIS,event=analyzeTokenForPattern; token=SQUEEZED; timestamp=2025-07-17T22:04:28.712Z
2025-07-17T22:16:21.976Z,PATTERN_ANALYSIS,event=analyzeTokenForPattern; token=SQUEEZED; timestamp=2025-07-17T22:16:21.973Z
2025-07-17T22:30:55.686Z,PATTERN_ANALYSIS,event=analyzeTokenForPattern; token=SQUEEZED; timestamp=2025-07-17T22:30:55.683Z
2025-07-17T22:36:06.709Z,PATTERN_ANALYSIS,event=analyzeTokenForPattern; token=SQUEEZED; timestamp=2025-07-17T22:36:06.707Z
2025-07-17T22:46:28.152Z,PATTERN_ANALYSIS,event=analyzeTokenForPattern; token=SQUEEZED; timestamp=2025-07-17T22:46:28.148Z
2025-07-17T23:06:04.527Z,PATTERN_ANALYSIS,event=analyzeTokenForPattern; token=SQUEEZED; timestamp=2025-07-17T23:06:04.524Z
2025-07-17T23:16:33.746Z,PATTERN_ANALYSIS,event=analyzeTokenForPattern; token=SQUEEZED; timestamp=2025-07-17T23:16:33.742Z
2025-07-17T23:18:06.603Z,PATTERN_ANALYSIS,event=analyzeTokenForPattern; token=SQUEEZED; timestamp=2025-07-17T23:18:06.600Z
2025-07-17T23:20:37.784Z,PATTERN_ANALYSIS,event=analyzeTokenForPattern; token=SQUEEZED; timestamp=2025-07-17T23:20:37.781Z
2025-07-17T23:31:59.087Z,PATTERN_ANALYSIS,event=analyzeTokenForPattern; token=SQUEEZED; timestamp=2025-07-17T23:31:59.085Z
2025-07-17T23:37:13.561Z,PATTERN_ANALYSIS,event=analyzeTokenForPattern; token=SQUEEZED; timestamp=2025-07-17T23:37:13.557Z
2025-07-18T00:42:02.540Z,PATTERN_ANALYSIS,event=analyzeTokenForPattern; token=SQUEEZED; timestamp=2025-07-18T00:42:02.540Z
2025-07-18T01:08:10.628Z,PATTERN_ANALYSIS,event=analyzeTokenForPattern; token=SQUEEZED; timestamp=2025-07-18T01:08:10.628Z
2025-07-18T01:29:36.203Z,PATTERN_ANALYSIS,event=analyzeTokenForPattern; token=SQUEEZED; timestamp=2025-07-18T01:29:36.203Z
2025-07-18T02:00:52.670Z,PATTERN_ANALYSIS,event=analyzeTokenForPattern; token=SQUEEZED; timestamp=2025-07-18T02:00:52.670Z
2025-07-18T02:03:13.466Z,PATTERN_ANALYSIS,event=analyzeTokenForPattern; token=SQUEEZED; timestamp=2025-07-18T02:03:13.466Z
2025-07-18T03:23:14.492Z,PATTERN_ANALYSIS,event=analyzeTokenForPattern; token=SQUEEZED; timestamp=2025-07-18T03:23:14.492Z
2025-07-20T19:28:18.537Z,PATTERN_ANALYSIS,event=analyzeTokenForPattern; token=SQUEEZED; timestamp=2025-07-20T19:28:18.535Z
2025-07-24T20:12:42.547Z,PATTERN_ANALYSIS,event=analyzeTokenForPattern; token=SQUEEZED; timestamp=2025-07-24T20:12:42.547Z
2025-07-24T21:21:20.019Z,PATTERN_ANALYSIS,event=analyzeTokenForPattern; token=SQUEEZED; timestamp=2025-07-24T21:21:20.014Z
2025-07-29T00:02:08.681Z,PATTERN_ANALYSIS,event=analyzeTokenForPattern; token=SQUEEZED; timestamp=2025-07-29T00:02:08.679Z
2025-08-03T01:05:59.889Z,PATTERN_ANALYSIS,event=analyzeTokenForPattern; token=SQUEEZED; timestamp=2025-08-03T01:05:59.885Z
2025-08-03T01:07:11.285Z,PATTERN_ANALYSIS,event=analyzeTokenForPattern; token=SQUEEZED; timestamp=2025-08-03T01:07:11.283Z
2025-08-03T01:08:07.511Z,PATTERN_ANALYSIS,event=analyzeTokenForPattern; token=SQUEEZED; timestamp=2025-08-03T01:08:07.508Z
2025-08-03T01:10:04.484Z,PATTERN_ANALYSIS,event=analyzeTokenForPattern; token=SQUEEZED; timestamp=2025-08-03T01:10:04.481Z
2025-08-03T01:11:59.168Z,PATTERN_ANALYSIS,event=analyzeTokenForPattern; token=SQUEEZED; timestamp=2025-08-03T01:11:59.166Z
2025-08-03T01:15:16.377Z,PATTERN_ANALYSIS,event=analyzeTokenForPattern; token=SQUEEZED; timestamp=2025-08-03T01:15:16.374Z
2025-08-03T01:22:35.016Z,PATTERN_ANALYSIS,event=analyzeTokenForPattern; token=SQUEEZED; timestamp=2025-08-03T01:22:35.015Z
2025-08-03T01:30:34.765Z,PATTERN_ANALYSIS,event=analyzeTokenForPattern; token=SQUEEZED; timestamp=2025-08-03T01:30:34.763Z
2025-08-03T01:33:21.546Z,PATTERN_ANALYSIS,event=analyzeTokenForPattern; token=SQUEEZED; timestamp=2025-08-03T01:33:21.544Z
2025-08-03T01:36:29.153Z,PATTERN_ANALYSIS,event=analyzeTokenForPattern; token=SQUEEZED; timestamp=2025-08-03T01:36:29.151Z
2025-08-03T01:38:28.146Z,PATTERN_ANALYSIS,event=analyzeTokenForPattern; token=SQUEEZED; timestamp=2025-08-03T01:38:28.144Z
2025-08-03T01:39:41.425Z,PATTERN_ANALYSIS,event=analyzeTokenForPattern; token=SQUEEZED; timestamp=2025-08-03T01:39:41.422Z
2025-08-03T01:42:58.337Z,PATTERN_ANALYSIS,event=analyzeTokenForPattern; token=SQUEEZED; timestamp=2025-08-03T01:42:58.336Z
2025-08-03T01:44:27.884Z,PATTERN_ANALYSIS,event=analyzeTokenForPattern; token=SQUEEZED; timestamp=2025-08-03T01:44:27.883Z
2025-08-03T01:47:13.789Z,PATTERN_ANALYSIS,event=analyzeTokenForPattern; token=SQUEEZED; timestamp=2025-08-03T01:47:13.787Z
2025-08-03T01:50:33.907Z,PATTERN_ANALYSIS,event=analyzeTokenForPattern; token=SQUEEZED; timestamp=2025-08-03T01:50:33.905Z
2025-08-03T01:56:07.051Z,PATTERN_ANALYSIS,event=analyzeTokenForPattern; token=SQUEEZED; timestamp=2025-08-03T01:56:07.050Z
2025-08-03T01:56:28.121Z,PATTERN_ANALYSIS,event=analyzeTokenForPattern; token=SQUEEZED; timestamp=2025-08-03T01:56:28.120Z
2025-08-03T01:57:04.179Z,PATTERN_ANALYSIS,event=analyzeTokenForPattern; token=SQUEEZED; timestamp=2025-08-03T01:57:04.178Z
2025-08-03T01:58:14.680Z,PATTERN_ANALYSIS,event=analyzeTokenForPattern; token=SQUEEZED; timestamp=2025-08-03T01:58:14.679Z
2025-08-03T02:02:46.325Z,PATTERN_ANALYSIS,event=analyzeTokenForPattern; token=SQUEEZED; timestamp=2025-08-03T02:02:46.323Z
2025-08-03T02:04:06.623Z,PATTERN_ANALYSIS,event=analyzeTokenForPattern; token=SQUEEZED; timestamp=2025-08-03T02:04:06.618Z
2025-08-03T05:18:06.815Z,PATTERN_ANALYSIS,event=analyzeTokenForPattern; token=SQUEEZED; timestamp=2025-08-03T05:18:06.814Z
2025-08-03T20:44:42.824Z,PATTERN_ANALYSIS,event=analyzeTokenForPattern; token=SQUEEZED; timestamp=2025-08-03T20:44:42.823Z
2025-08-03T20:50:28.881Z,PATTERN_ANALYSIS,event=analyzeTokenForPattern; token=SQUEEZED; timestamp=2025-08-03T20:50:28.881Z
2025-08-03T20:52:05.728Z,PATTERN_ANALYSIS,event=analyzeTokenForPattern; token=SQUEEZED; timestamp=2025-08-03T20:52:05.728Z
2025-08-03T20:54:04.102Z,PATTERN_ANALYSIS,event=analyzeTokenForPattern; token=SQUEEZED; timestamp=2025-08-03T20:54:04.102Z
2025-08-03T20:56:21.717Z,PATTERN_ANALYSIS,event=analyzeTokenForPattern; token=SQUEEZED; timestamp=2025-08-03T20:56:21.717Z
2025-08-03T21:02:47.749Z,PATTERN_ANALYSIS,event=analyzeTokenForPattern; token=SQUEEZED; timestamp=2025-08-03T21:02:47.749Z
2025-08-03T21:06:52.704Z,PATTERN_ANALYSIS,event=analyzeTokenForPattern; token=SQUEEZED; timestamp=2025-08-03T21:06:52.704Z
2025-08-03T21:11:18.974Z,PATTERN_ANALYSIS,event=analyzeTokenForPattern; token=SQUEEZED; timestamp=2025-08-03T21:11:18.974Z
2025-08-03T21:12:34.007Z,PATTERN_ANALYSIS,event=analyzeTokenForPattern; token=SQUEEZED; timestamp=2025-08-03T21:12:34.007Z
2025-08-03T21:13:12.582Z,PATTERN_ANALYSIS,event=analyzeTokenForPattern; token=SQUEEZED; timestamp=2025-08-03T21:13:12.582Z
2025-08-03T21:15:53.014Z,PATTERN_ANALYSIS,event=analyzeTokenForPattern; token=SQUEEZED; timestamp=2025-08-03T21:15:53.014Z
2025-08-03T21:18:12.849Z,PATTERN_ANALYSIS,event=analyzeTokenForPattern; token=SQUEEZED; timestamp=2025-08-03T21:18:12.848Z
2025-08-03T21:20:13.599Z,PATTERN_ANALYSIS,event=analyzeTokenForPattern; token=SQUEEZED; timestamp=2025-08-03T21:20:13.599Z
2025-08-03T21:21:10.200Z,PATTERN_ANALYSIS,event=analyzeTokenForPattern; token=SQUEEZED; timestamp=2025-08-03T21:21:10.200Z
2025-08-03T21:26:53.389Z,PATTERN_ANALYSIS,event=analyzeTokenForPattern; token=SQUEEZED; timestamp=2025-08-03T21:26:53.389Z
2025-08-03T23:14:08.518Z,PATTERN_ANALYSIS,event=analyzeTokenForPattern; token=SQUEEZED; timestamp=2025-08-03T23:14:08.518Z
2025-08-04T21:08:37.230Z,PATTERN_ANALYSIS,event=analyzeTokenForPattern; token=SQUEEZED; timestamp=2025-08-04T21:08:37.228Z
2025-08-04T21:20:39.396Z,PATTERN_ANALYSIS,event=analyzeTokenForPattern; token=SQUEEZED; timestamp=2025-08-04T21:20:39.392Z
2025-08-04T22:34:19.449Z,PATTERN_ANALYSIS,event=analyzeTokenForPattern; token=SQUEEZED; timestamp=2025-08-04T22:34:19.430Z
2025-08-04T22:55:47.059Z,PATTERN_ANALYSIS,event=analyzeTokenForPattern; token=SQUEEZED; timestamp=2025-08-04T22:55:47.058Z
